day,iteration_end_of_day,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
1,24,30,0.650653,0.931259,1.4312682797128422,0.2806059999999999,0.790956
2,48,52,0.685724,0.908891,1.3254472644970863,0.223167,0.7973075000000001
3,72,60,0.762204,1.019482,1.3375448042781197,0.257278,0.890843
4,96,149,0.651709,1.094778,1.6798571141414345,0.44306900000000005,0.8732435000000001
5,120,202,0.807324,1.056059,1.3080981117865937,0.24873500000000004,0.9316915000000001
6,144,217,0.866972,1.321945,1.524783960727682,0.45497299999999996,1.0944585
7,168,187,0.883452,1.142746,1.2935009485518172,0.259294,1.013099
8,192,252,0.892891,1.599895,1.7918144543958894,0.7070040000000001,1.246393
9,216,226,1.115451,1.312474,1.1766307977670019,0.19702299999999995,1.2139625
10,240,417,0.827068,1.624504,1.964172232512925,0.7974359999999999,1.225786
11,264,349,0.644989,1.12105,1.7380916573771026,0.47606100000000007,0.8830195000000001
12,288,348,0.82758,1.453241,1.756012711762005,0.625661,1.1404105
13,312,368,0.968443,1.394073,1.4394992787391718,0.42562999999999984,1.181258
14,336,526,0.818236,1.60476,1.9612434554333957,0.786524,1.211498
15,360,603,1.090266,2.325844,2.133281235955262,1.235578,1.7080549999999999
16,384,600,1.016091,1.722007,1.6947369871399314,0.705916,1.369049
17,408,755,0.874588,2.661139,3.0427344075153098,1.7865509999999998,1.7678635
18,432,847,0.791548,1.719799,2.1727033610090607,0.928251,1.2556735
19,456,963,0.768444,1.86575,2.427958315765365,1.0973060000000001,1.317097
20,480,1210,0.909243,1.645431,1.809671341984486,0.7361880000000001,1.2773370000000002
21,504,1400,1.050906,2.296724,2.185470441695071,1.2458180000000003,1.673815
22,528,1428,1.097178,2.662354,2.4265470142492833,1.5651760000000001,1.879766
23,552,1519,1.074394,2.300373,2.141088837056052,1.225979,1.6873835000000001
24,576,1509,1.205945,1.984661,1.645730941295001,0.778716,1.595303
25,600,1679,0.847868,2.109621,2.488147919251582,1.2617530000000001,1.4787445000000001
26,624,1999,1.14553,3.451439,3.01296255881557,2.305909,2.2984845
