validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
GroupKFold5,absolute,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,0.9929456143572499,0.28374762569832407,0.3958459941523447,0.0,0.0
GroupKFold5,absolute,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.9781111334796873,0.5795317070745977,0.6972817395365897,-104.24195820082262,-76.14975264047634
GroupKFold5,absolute,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.9891223990004225,0.3878427150143801,0.49154492640404474,-36.685801003575015,-24.17579908990299
GroupKFold5,absolute,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Spatial,0.9918710705126244,0.33027388051104445,0.4249260280022152,-16.3970551993927,-7.346299894266141
GroupKFold5,absolute,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Persistence,0.9900404231795438,0.3059811284916201,0.487118765027379,0.0,0.0
GroupKFold5,absolute,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N,0.979327305564598,0.5471804718632844,0.7017993470038815,-78.82817628678364,-44.071507276964816
GroupKFold5,absolute,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N+H,0.9877925592048269,0.42449006400455547,0.5392954180409089,-38.73079888852718,-10.711279622043964
GroupKFold5,absolute,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Spatial,0.9904598765703911,0.34003073713682497,0.47675078182992137,-11.128009368766465,2.1284302600978404
GroupKFold5,absolute,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Persistence,0.9934847265121889,0.2567364134078212,0.3486956917772126,0.0,0.0
GroupKFold5,absolute,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N,0.9796419598173683,0.5140016310341096,0.6163795762571695,-100.20597164673603,-76.76719007213447
GroupKFold5,absolute,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N+H,0.9884064781174726,0.3769982498258429,0.4651445634579723,-46.84253192669943,-33.395557911039745
GroupKFold5,absolute,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Spatial,0.9933190887420289,0.26745191186789957,0.353100317328112,-4.173735356759455,-1.2631717726279121
GroupKFold5,absolute,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Persistence,0.9936786714451502,0.2530188938547486,0.35106310224271553,0.0,0.0
GroupKFold5,absolute,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N,0.9777377508068694,0.5262049138831797,0.6588181031397724,-107.97060087744272,-87.66372738433884
GroupKFold5,absolute,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N+H,0.9865525988790789,0.393331481684184,0.5120356321390817,-55.45537951406313,-45.85287626868689
GroupKFold5,absolute,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Spatial,0.9894448232064518,0.3293899737205885,0.45364252635583263,-30.183943460634385,-29.21965409004916
GroupKFold5,absolute,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Persistence,0.9955939388619928,0.22509099999999996,0.2990356196629163,0.0,0.0
GroupKFold5,absolute,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N,0.9812328794772901,0.5228816488240786,0.6171581726030565,-132.29789232980383,-106.3828293427851
GroupKFold5,absolute,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N+H,0.9919247110907412,0.32834448391408483,0.40483373695212393,-45.87188466623939,-35.379770947844634
GroupKFold5,absolute,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Spatial,0.9925171751055777,0.27347183386056473,0.38970004335912845,-21.493899738578964,-30.31893785710623
GroupKFold5,residual,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",ZeroResidual,-0.0050463992099620825,0.5837479981825151,0.7022923798503593,0.0,0.0
GroupKFold5,residual,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",H,0.39561668508393066,0.40528440070632654,0.544604384421125,30.572027318608463,22.453325702157496
GroupKFold5,residual,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",SpatialResidual,0.5813302248280836,0.35736637036090485,0.45327389182211647,38.780711630094466,35.457951014832645
GroupKFold5,residual,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",ZeroResidual,-0.0015608719282156347,0.5527888351087171,0.7048402526064532,0.0,0.0
GroupKFold5,residual,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",H,0.23802288909897973,0.4248961844720805,0.6147846086380052,23.13589611691125,12.776745317173376
GroupKFold5,residual,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",SpatialResidual,0.5028572979290096,0.36094837755237563,0.4965838115509636,34.70411219839709,29.546615745251625
GroupKFold5,residual,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",ZeroResidual,-0.0010945058751705705,0.5183704427139706,0.6173555688713606,0.0,0.0
GroupKFold5,residual,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",H,0.3211912580435643,0.3717042103320223,0.5083602029960741,28.293710500557346,17.655200887642437
GroupKFold5,residual,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",SpatialResidual,0.5419991954003185,0.328061297221159,0.41757159802301913,36.712962354958464,32.36124867450103
GroupKFold5,residual,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",ZeroResidual,-0.003425982844497577,0.5302460800775319,0.6580619035964661,0.0,0.0
GroupKFold5,residual,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",H,0.2648532307229412,0.3928074288075552,0.5632628453038762,25.919786384819783,14.405796441716252
GroupKFold5,residual,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",SpatialResidual,0.44948647853752144,0.36341034921287385,0.4874253064012033,31.463831065052585,25.930174085856194
GroupKFold5,residual,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",ZeroResidual,-7.010421676878487e-05,0.531641034911184,0.6229538424558329,0.0,0.0
GroupKFold5,residual,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",H,0.4083000089749935,0.35835789261726897,0.4791719949192932,32.594011920630564,23.080658266705168
GroupKFold5,residual,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",SpatialResidual,0.5492515490157441,0.3059256874321585,0.4182228603966843,42.45634416025346,32.86455080717539
GroupKFold5,increment,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,-0.06463854130208935,0.28374762569832407,0.3958459941523447,0.0,0.0
GroupKFold5,increment,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.049313319682354306,0.26733958532329616,0.3740622371432122,5.782617681697424,5.503088911075068
GroupKFold5,increment,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.04994117817265176,0.26738816300194485,0.37393869647214345,5.765497651695716,5.534298187635585
GroupKFold5,increment,20,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Spatial,0.050435819968892126,0.26757781240165884,0.3738413394528637,5.698660299577877,5.558892858471712
GroupKFold5,increment,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Persistence,-0.044617901230631585,0.3059811284916201,0.487118765027379,0.0,0.0
GroupKFold5,increment,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N,0.029845461090129644,0.2963611183245361,0.46943621226128207,3.1439880670116187,3.6300290679836693
GroupKFold5,increment,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N+H,0.030235069369532352,0.2962364485291029,0.46934194140349095,3.184732342989606,3.6493818140816
