validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,absolute,20,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Persistence,0.9959496186636065,0.22462183240223463,0.2967854975403981,0.0,0.0
LOSO,absolute,20,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N,0.9778327982578034,0.5883021224988793,0.6943047805633102,-161.9078102102717,-133.94161315742937
LOSO,absolute,20,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N+H,0.9901115251821019,0.37263650334448184,0.4637237877910544,-65.89505096601407,-56.24880313699722
LOSO,absolute,20,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Spatial,0.9926634231422748,0.3028671943779585,0.3994307119717239,-34.834263944391836,-34.58565707623697
LOSO,absolute,20,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Persistence,0.9950376998335783,0.2494570055865922,0.32988178698301324,0.0,0.0
LOSO,absolute,20,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N,0.9788333747100214,0.5091869320168811,0.681306659206784,-104.11811278642594,-106.53054702952329
LOSO,absolute,20,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N+H,0.9867291915965447,0.3927423486426347,0.5394677815605101,-57.43889321492913,-63.53366655804165
LOSO,absolute,20,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Spatial,0.9871354601660157,0.3820358337244566,0.5311460438448552,-53.146965276083726,-61.01102419219214
LOSO,absolute,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Persistence,0.994493402730494,0.22141277094972067,0.2937856597902856,0.0,0.0
LOSO,absolute,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N,0.9813116589429973,0.4771653559322124,0.5412205912189414,-115.50940981654986,-84.2229438990601
LOSO,absolute,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N+H,0.9915099224049966,0.29743950971248506,0.36479154635861427,-34.337106408387285,-24.169282673298333
