target,horizon,model,seeds_improved,seeds_total,fraction_improved,mean_mae,mean_baseline_mae,mean_mae_reduction_pct
absolute,20,N,0,10,0.0,0.539317896702949,0.2649150122905028,-107.86944470639432
absolute,20,N+H,0,10,0.0,0.38388939957261736,0.2649150122905028,-46.570947606252005
absolute,20,Spatial,1,10,0.1,0.3100919250609997,0.2649150122905028,-18.33377263636843
absolute,50,N,0,10,0.0,0.5340503314845647,0.34771537915492956,-54.7764140431136
absolute,50,N+H,2,10,0.2,0.3796089943771677,0.34771537915492956,-9.430488103288948
absolute,50,Spatial,9,10,0.9,0.3156137216247285,0.34771537915492956,9.07762936045243
absolute,120,N,10,10,1.0,0.5140704312126728,0.5961441729885057,13.752836206436978
absolute,120,N+H,10,10,1.0,0.3674694120870516,0.5961441729885057,38.5593514185607
absolute,120,Spatial,10,10,1.0,0.3204208684356168,0.5961441729885057,46.41260214745639
increment,20,N,10,10,1.0,0.25042540057224844,0.2649150122905028,5.7221604603893494
increment,20,N+H,10,10,1.0,0.25033728966670465,0.2649150122905028,5.755031144831396
increment,20,Spatial,10,10,1.0,0.2504263267783822,0.2649150122905028,5.719102202128804
increment,50,N,10,10,1.0,0.27728630808231214,0.34771537915492956,20.778133838624697
increment,50,N+H,10,10,1.0,0.27682505871659285,0.34771537915492956,20.917679291554485
increment,50,Spatial,10,10,1.0,0.2766929640123034,0.34771537915492956,20.95286982797505
increment,120,N,10,10,1.0,0.3090875103787154,0.5961441729885057,48.22062400406985
increment,120,N+H,10,10,1.0,0.3076471897626675,0.5961441729885057,48.45914112921945
increment,120,Spatial,10,10,1.0,0.3075998778512742,0.5961441729885057,48.472250176844604
residual,20,H,10,10,1.0,0.39215569555860286,0.5447076402335894,28.129558498647032
residual,20,SpatialResidual,10,10,1.0,0.345293158972128,0.5447076402335894,36.58743273863649
residual,50,H,10,10,1.0,0.3864890874399737,0.5480261431290046,29.630641058585656
residual,50,SpatialResidual,10,10,1.0,0.33985596321227335,0.5480261431290046,37.98853894486013
residual,120,H,10,10,1.0,0.3777974619323596,0.5540966804590058,31.996981809290226
residual,120,SpatialResidual,10,10,1.0,0.32934018820207667,0.5540966804590058,40.61336779778507
