iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,15,1.43051e-05,0.000305176,0.000290871,4,0.0625,3.97268,0.55296
20,1,20,37,3.52859e-05,0.00115967,0.00112438,4,0.0625,4.69547,0.959488
30,2,6,24,2.28882e-05,0.000915527,0.000892639,3,0.046875,5.34374,0.589824
40,2,16,59,5.62668e-05,0.00201416,0.00195789,4,0.0625,5.07091,0.673792
50,3,2,51,4.86374e-05,0.00170898,0.00166035,4,0.0625,4.93148,0.57344
60,3,12,43,4.1008e-05,0.00115967,0.00111866,4,0.0625,4.55,0.556032
70,3,22,15,1.43051e-05,0.000427246,0.000412941,4,0.0625,4.44572,0.518144
80,4,8,6,5.72205e-06,0.000305176,0.000299454,2,0.03125,6.72475,0.515072
90,4,18,10,9.53674e-06,0.000244141,0.000234604,3,0.046875,4.55631,0.520192
100,5,4,8,7.62939e-06,0.000305176,0.000297546,2,0.03125,5.74456,0.516096
110,5,14,5,4.76837e-06,0.000244141,0.000239372,2,0.03125,6.52074,0.518144
120,5,24,17,1.62125e-05,0.000427246,0.000411034,4,0.0625,4.47639,0.628736
130,6,10,17,1.62125e-05,0.000488281,0.000472069,3,0.046875,4.991,0.528384
140,6,20,29,2.76566e-05,0.000488281,0.000460625,4,0.0625,3.89991,0.550912
150,7,6,11,1.04904e-05,0.000244141,0.00023365,3,0.046875,4.54818,0.509952
160,7,16,34,3.24249e-05,0.00134277,0.00131035,4,0.0625,5.34453,0.726016
170,8,2,57,5.43594e-05,0.00152588,0.00147152,4,0.0625,4.49174,0.618496
180,8,12,50,4.76837e-05,0.000976562,0.000928879,4,0.0625,3.96767,0.613376
190,8,22,105,0.000100136,0.0022583,0.00215816,4,0.0625,4.08223,0.66048
200,9,8,143,0.000136375,0.00317383,0.00303745,4,0.0625,4.09176,0.84992
210,9,18,120,0.000114441,0.00341797,0.00330353,4,0.0625,4.52892,0.868352
220,10,4,125,0.000119209,0.00354004,0.00342083,4,0.0625,4.50592,0.70656
230,10,14,148,0.000141144,0.00439453,0.00425339,4,0.0625,4.75914,0.630784
240,10,24,212,0.000202179,0.00506592,0.00486374,4,0.0625,4.52449,0.914432
250,11,10,215,0.00020504,0.00805664,0.0078516,4,0.0625,5.21551,1.13357
260,11,20,185,0.00017643,0.00653076,0.00635433,4,0.0625,5.12651,0.765952
270,12,6,168,0.000160217,0.00738525,0.00722504,4,0.0625,5.87878,1.04653
280,12,16,256,0.000244141,0.00836182,0.00811768,4,0.0625,4.90575,0.939008
290,13,2,222,0.000211716,0.00683594,0.00662422,4,0.0625,4.78777,1.09773
300,13,12,240,0.000228882,0.00634766,0.00611877,4,0.0625,4.44672,1.37933
310,13,22,304,0.000289917,0.00610352,0.0058136,4,0.0625,4.1179,0.71168
320,14,8,324,0.00030899,0.0078125,0.00750351,4,0.0625,4.33288,1.29024
330,14,18,423,0.000403404,0.0124512,0.0120478,4,0.0625,4.55871,1.21037
340,15,4,514,0.000490189,0.0109253,0.0104351,4,0.0625,4.01677,0.836608
350,15,14,570,0.000543594,0.0115356,0.0109921,4,0.0625,4.06488,1.36704
360,15,24,638,0.000608444,0.0119629,0.0113544,4,0.0625,3.98304,1.00659
370,16,10,687,0.000655174,0.0141602,0.013505,4,0.0625,4.00346,1.2288
380,16,20,677,0.000645638,0.0195312,0.0188856,4,0.0625,4.44014,1.41926
390,17,6,740,0.000705719,0.0223999,0.0216942,4,0.0625,4.52535,1.04653
400,17,16,815,0.000777245,0.0259399,0.0251627,4,0.0625,4.62352,0.955392
410,18,2,909,0.00086689,0.027832,0.0269651,4,0.0625,4.5179,0.971776
420,18,12,910,0.000867844,0.0248413,0.0239735,4,0.0625,4.3001,1.04448
430,18,22,979,0.000933647,0.0280151,0.0270815,4,0.0625,4.37088,1.20525
440,19,8,1154,0.00110054,0.0333252,0.0322247,4,0.0625,4.39672,1.15917
450,19,18,1191,0.00113583,0.0365601,0.0354242,4,0.0625,4.58977,0.961536
460,20,4,1305,0.00124454,0.0391235,0.037879,4,0.0625,4.55904,1.34963
470,20,14,1168,0.00111389,0.0339355,0.0328217,4,0.0625,4.44477,0.964608
480,20,24,1296,0.00123596,0.0365601,0.0353241,4,0.0625,4.38886,1.26976
490,21,10,1465,0.00139713,0.0359497,0.0345526,4,0.0625,4.13734,1.05882
500,21,20,1469,0.00140095,0.0284424,0.0270414,4,0.0625,3.92756,0.852992
510,22,6,1452,0.00138474,0.0309448,0.0295601,4,0.0625,4.01976,1.34144
520,22,16,1580,0.00150681,0.0348511,0.0333443,4,0.0625,4.02327,1.29536
530,23,2,1636,0.00156021,0.0361328,0.0345726,4,0.0625,4.01912,1.24211
540,23,12,1809,0.0017252,0.0386353,0.0369101,4,0.0625,3.98381,1.37728
550,23,22,1849,0.00176334,0.0403442,0.0385809,4,0.0625,4.0001,1.36294
560,24,8,1802,0.00171852,0.0419312,0.0402126,4,0.0625,4.07915,1.19398
570,24,18,1875,0.00178814,0.0443115,0.0425234,4,0.0625,4.07542,1.40288
580,25,4,1999,0.00190639,0.0458984,0.043992,4,0.0625,4.06756,1.03731
590,25,14,2042,0.0019474,0.041687,0.0397396,4,0.0625,3.95844,1.68346
600,25,24,2113,0.00201511,0.0403442,0.0383291,4,0.0625,3.93362,1.39366
610,26,10,2326,0.00221825,0.0488281,0.0466099,4,0.0625,3.98398,1.43667
620,26,20,2250,0.00214577,0.0458374,0.0436916,4,0.0625,3.9684,1.31789
630,27,6,2371,0.00226116,0.0480347,0.0457735,4,0.0625,3.97364,1.34861
640,27,16,2517,0.0024004,0.0499878,0.0475874,4,0.0625,3.99215,1.4817
650,28,2,2570,0.00245094,0.0485229,0.046072,4,0.0625,3.9347,1.49914
660,28,12,2630,0.00250816,0.0491333,0.0466251,4,0.0625,3.95028,1.52986
670,28,22,2644,0.00252151,0.0545044,0.0519829,4,0.0625,3.9789,1.06394
680,29,8,2690,0.00256538,0.0592651,0.0566998,4,0.0625,4.02617,0.946176
690,29,18,2797,0.00266743,0.06073,0.0580626,4,0.0625,4.01818,1.35782
700,30,4,2911,0.00277615,0.0644531,0.061677,4,0.0625,4.038,1.42234
710,30,14,2975,0.00283718,0.0584717,0.0556345,4,0.0625,3.93766,1.24621
720,30,24,3337,0.00318241,0.067749,0.0645666,4,0.0625,3.95265,1.5319
730,31,10,3451,0.00329113,0.0739136,0.0706224,4,0.0625,3.99824,1.27344
740,31,20,3438,0.00327873,0.0714111,0.0681324,4,0.0625,3.99545,1.33229
750,32,6,3457,0.00329685,0.0760498,0.072753,4,0.0625,4.01025,1.48275
760,32,16,3875,0.00369549,0.0866089,0.0829134,4,0.0625,4.0471,1.21242
770,33,2,3984,0.00379944,0.0964966,0.0926971,4,0.0625,4.12845,1.62202
780,33,12,4153,0.00396061,0.0944824,0.0905218,4,0.0625,4.08029,1.72646
790,33,22,4402,0.00419807,0.0935669,0.0893688,4,0.0625,4.03623,1.51552
800,34,8,4309,0.00410938,0.0922241,0.0881147,4,0.0625,4.0318,1.31686
810,34,18,4180,0.00398636,0.081665,0.0776787,4,0.0625,3.97555,1.22778
820,35,4,4164,0.0039711,0.0776978,0.0737267,4,0.0625,3.99464,1.61382
830,35,14,4304,0.00410461,0.0852661,0.0811615,4,0.0625,4.01729,1.34451
840,35,24,4634,0.00441933,0.0927734,0.0883541,4,0.0625,4.04301,1.2073
850,36,10,4599,0.00438595,0.0974731,0.0930872,4,0.0625,4.07216,1.51552
860,36,20,4786,0.00456429,0.106995,0.10243,4,0.0625,4.11729,1.28512
870,37,6,4602,0.00438881,0.103088,0.0986996,4,0.0625,4.10656,1.2544
880,37,16,4575,0.00436306,0.104675,0.100312,4,0.0625,4.12488,1.19296
890,38,2,4734,0.00451469,0.100525,0.0960102,4,0.0625,4.02608,1.43258
900,38,12,4837,0.00461292,0.0980835,0.0934706,4,0.0625,4.00004,1.7664
910,38,22,4982,0.00475121,0.10376,0.0990086,4,0.0625,4.01303,1.61075
920,39,8,5179,0.00493908,0.109192,0.104253,4,0.0625,4.02474,1.21037
930,39,18,5670,0.00540733,0.133911,0.128504,4,0.0625,4.10833,1.3015
940,40,4,5839,0.0055685,0.139954,0.134385,4,0.0625,4.11984,1.80531
950,40,14,6127,0.00584316,0.139709,0.133866,4,0.0625,4.08642,1.65786
960,40,24,6331,0.00603771,0.142334,0.136296,4,0.0625,4.081,1.54419
970,41,10,6469,0.00616932,0.14502,0.13885,4,0.0625,4.05162,1.62202
980,41,20,6632,0.00632477,0.152039,0.145714,4,0.0625,4.05869,1.67117
990,42,6,6803,0.00648785,0.151917,0.145429,4,0.0625,4.02901,1.34042
1000,42,16,7224,0.00688934,0.165588,0.158699,4,0.0625,4.051,1.8432
1010,43,2,7357,0.00701618,0.166992,0.159976,4,0.0625,4.03921,1.68346
1020,43,12,7820,0.00745773,0.170105,0.162647,4,0.0625,3.99904,1.85856
1030,43,22,7763,0.00740337,0.179016,0.171613,4,0.0625,4.05553,1.49402
1040,44,8,7862,0.00749779,0.176819,0.169321,4,0.0625,4.0268,1.72544
1050,44,18,7948,0.0075798,0.178833,0.171253,5,0.078125,4.03497,1.81453
1060,45,4,8735,0.00833035,0.194031,0.1857,5,0.078125,4.01935,1.7879
1070,45,14,8759,0.00835323,0.191895,0.183541,5,0.078125,4.00114,1.74899
1080,45,24,9098,0.00867653,0.18335,0.174673,5,0.078125,3.93642,1.55341
1090,46,10,9059,0.00863934,0.188538,0.179898,5,0.078125,3.95417,1.73261
1100,46,20,9333,0.00890064,0.18634,0.17744,5,0.078125,3.93213,1.93331
1110,47,6,9460,0.00902176,0.199402,0.19038,5,0.078125,3.96961,1.71008
1120,47,16,9625,0.00917912,0.203674,0.194495,5,0.078125,3.95137,1.9129
1130,48,2,10336,0.00985718,0.217957,0.208099,5,0.078125,3.96562,1.9159
1140,48,12,10245,0.00977039,0.226257,0.216487,5,0.078125,3.98763,1.97325
1150,48,22,10115,0.00964642,0.222717,0.213071,5,0.078125,3.98495,1.73978
1160,49,8,10135,0.00966549,0.217896,0.20823,5,0.078125,3.96451,1.78995
1170,49,18,10121,0.00965214,0.215759,0.206107,6,0.09375,3.9581,1.87904
1180,50,4,10519,0.0100317,0.217773,0.207742,6,0.09375,3.92525,1.84115
1190,50,14,10752,0.0102539,0.2146,0.204346,6,0.09375,3.89209,1.8985
1200,50,24,11043,0.0105314,0.219971,0.209439,7,0.109375,3.87914,2.01523
1210,51,10,11404,0.0108757,0.231384,0.220509,7,0.109375,3.8757,1.88518
