validation,target,horizon,model,folds,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,mae_reduction_mean_pct,mae_reduction_std_pct,rmse_reduction_mean_pct,rmse_reduction_std_pct
GroupKFold5,absolute,20,N,5,0.9792102058291625,0.0013845049984794037,0.53796007453585,0.026233404743542216,0.6582873877080939,0.041418621207480064,-104.70891986831778,19.118691434720358,-78.20700134333991,22.66519487422555
GroupKFold5,absolute,20,N+H,5,0.9887597492585083,0.002005010481970486,0.3822013988886095,0.034898690658455925,0.48257085539882627,0.05126674911894613,-44.71727919982083,7.441424591924545,-29.903056767903642,13.207142907132667
GroupKFold5,absolute,20,Persistence,5,0.993148674871225,0.0020047197565674912,0.2649150122905028,0.030965514270101885,0.37635183457251364,0.07076636638479149,0.0,0.0,0.0,0.0
GroupKFold5,absolute,20,Spatial,5,0.9915224068274148,0.0015640109050218533,0.30812366741938446,0.034698307200366686,0.41962393937504194,0.049420856872019706,-16.675328624826395,9.91011255774417,-13.20392667079032,15.50323934475401
GroupKFold5,absolute,50,N,5,0.979526464182442,0.0014965555779495132,0.5326503431102264,0.026794806791542083,0.6530844311300791,0.04075512614735589,-53.53379049304891,6.57348675922665,-34.332109918170275,8.40187861696173
GroupKFold5,absolute,50,N+H,5,0.9888851566435857,0.0019602890679184274,0.3780311417404555,0.03399076941474065,0.4797444941108561,0.048983597145219646,-8.822196813350603,7.424349587495354,1.5534353677683495,7.249157532213132
GroupKFold5,absolute,50,Persistence,5,0.9885294611132384,0.001776606089869858,0.34771537915492956,0.027696720104717916,0.4889799835002259,0.05909109634284283,0.0,0.0,0.0,0.0
GroupKFold5,absolute,50,Spatial,5,0.9912402609465168,0.0013448071163199072,0.31404212591702557,0.028201567472539865,0.4267379179933325,0.04211447076348675,9.605501129320867,5.984417233640154,12.32703645110914,7.542964550389815
GroupKFold5,absolute,120,N,5,0.9805456125343441,0.0019144499429188785,0.5123853327728318,0.026508787685152548,0.6361835505302273,0.04140796807683474,14.04993636263826,2.1566983664459,22.388783220417746,1.066658257163436
GroupKFold5,absolute,120,N+H,5,0.9892781265987092,0.0019944678180521644,0.3656794258309001,0.03434754975224421,0.4708733371720252,0.048928667158341634,38.686890812762144,4.77849228952026,42.631876630862266,3.683198069252442
GroupKFold5,absolute,120,Persistence,5,0.9677461525565809,0.002506462006859244,0.5961441729885057,0.026999480558024324,0.8196921781159565,0.05221673317321135,0.0,0.0,0.0,0.0
GroupKFold5,absolute,120,Spatial,5,0.9910834574435933,0.0011801525933619415,0.31884301012222693,0.019574357357928947,0.4304383954659718,0.032951523203182745,46.52554250574718,1.981537934060168,47.48558899572444,2.362999678065808
GroupKFold5,increment,20,N,5,0.04480697121003498,0.008975407217326056,0.2504280922441834,0.03283000275980051,0.3565247578393836,0.07157763032604572,5.58655350446311,1.4833552884728722,5.4342356627205985,1.1594841009913015
GroupKFold5,increment,20,N+H,5,0.045052725090595415,0.008852916702490601,0.2503327417387993,0.032874809775312326,0.35647191959403224,0.07152729112454996,5.624947353280307,1.4919617505454923,5.446480443353932,1.146789196846929
GroupKFold5,increment,20,Persistence,5,-0.06833790832724959,0.017888085633189922,0.2649150122905028,0.030965514270101885,0.37635183457251364,0.07076636638479149,0.0,0.0,0.0,0.0
GroupKFold5,increment,20,Spatial,5,0.04526322388119284,0.008453677476297562,0.25042744454746674,0.03285989276555228,0.35643533302874075,0.07151397394022554,5.589054402285913,1.4660658233127153,5.456745355025285,1.1477925794169248
GroupKFold5,increment,50,N,5,0.18431227518215065,0.028660710286376078,0.2773139834872619,0.026733193733445168,0.39063388797886367,0.059912480117691194,20.32438083234107,1.5936934822676307,20.344617039516848,2.56621449218386
GroupKFold5,increment,50,N+H,5,0.18494345105967178,0.028864362150573412,0.276857198455592,0.026824648549567797,0.3904636136739554,0.05975258233456775,20.458410655510654,1.6057895683294579,20.37622710620286,2.5473898731729454
GroupKFold5,increment,50,Persistence,5,-0.2866645445786025,0.0467025652782732,0.34771537915492956,0.027696720104717916,0.4889799835002259,0.05909109634284283,0.0,0.0,0.0,0.0
GroupKFold5,increment,50,Spatial,5,0.18633054727980192,0.026928994141449284,0.27683602310229005,0.026748420039414335,0.39016594493005063,0.05984045770807143,20.46472049733199,1.5065482020233363,20.44168623020537,2.534129276458407
GroupKFold5,increment,120,N,5,0.5163015718724582,0.021917827647703527,0.30918438622997035,0.015618886043251786,0.42691138035601633,0.038371264893602826,48.13872919607096,0.983842415325197,47.98386895564458,1.5083286394052204
GroupKFold5,increment,120,N+H,5,0.5175085430018826,0.02312301428911124,0.3077764617302553,0.015512075784274618,0.4263033498238357,0.03764109796062941,48.374527210323016,0.9770084867754432,48.05270221539487,1.4545576372193756
GroupKFold5,increment,120,Persistence,5,-0.7885223051475585,0.07064758396580845,0.5961441729885057,0.026999480558024324,0.8196921781159565,0.05221673317321135,0.0,0.0,0.0,0.0
GroupKFold5,increment,120,Spatial,5,0.5186490505172681,0.022308747705308024,0.3079270051302823,0.015945336086494195,0.4258882005355827,0.038597736375184634,48.351681724793806,1.0181255873017632,48.11067749239082,1.5279500365212264
GroupKFold5,residual,20,H,5,0.32559681438488186,0.07602793065853145,0.3906100233870507,0.026426012226128323,0.5420368072556747,0.052046801184687276,28.103086448305483,3.732967891096862,18.074345323078944,4.635114271114303
GroupKFold5,residual,20,SpatialResidual,5,0.5249849491421354,0.05060334610757213,0.3431424163558944,0.025212533044605023,0.4546154936387974,0.0372031496448988,36.82359228175121,4.146977362275258,31.23210806552338,3.6314241262308573
GroupKFold5,residual,20,ZeroResidual,5,-0.00223957281492293,0.0019852109685542124,0.5433588781987837,0.025757913028055936,0.6611007894760944,0.041796998913217816,0.0,0.0,0.0,0.0
GroupKFold5,residual,50,H,5,0.33528741028407405,0.07410861150706419,0.38503893819716123,0.027012898633733174,0.54011426174186,0.051682721289802946,29.56877976469349,3.625248877638259,18.664176132961007,4.551556864268403
GroupKFold5,residual,50,SpatialResidual,5,0.5413668291198028,0.048589803793257176,0.33792695955501817,0.02602708713919503,0.448361862059839,0.036772302643073934,38.15935929010662,4.336934957536352,32.42853815241516,3.543731009196825
GroupKFold5,residual,50,ZeroResidual,5,-0.0022740317025096157,0.0020644377490534552,0.5466623568493771,0.02571434558032478,0.6635253799570631,0.041862750171399135,0.0,0.0,0.0,0.0
GroupKFold5,residual,120,H,5,0.3506146258607548,0.06967772332589557,0.37615271048253746,0.02687431333757449,0.5374757089308072,0.05172127424573526,31.96800051040113,3.026652607170219,19.61225357719648,4.319458687972406
GroupKFold5,residual,120,SpatialResidual,5,0.5787032325418908,0.05029400680499691,0.3269649573816589,0.027702010452484792,0.43261160430150863,0.04018191154323877,40.83544220806156,4.390347558118431,35.26800649374872,3.833503298265335
GroupKFold5,residual,120,ZeroResidual,5,-0.002594359765868548,0.00236029917937209,0.5526970028160422,0.02595509836116574,0.668023841652136,0.04280518527961499,0.0,0.0,0.0,0.0
