validation,target,horizon,model,folds,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,mae_reduction_mean_pct,mae_reduction_std_pct,rmse_reduction_mean_pct,rmse_reduction_std_pct
LOSO,absolute,20,N,10,0.9790236520465274,0.0031752781513458826,0.539317896702949,0.04693192081391396,0.6582134754975322,0.07489001621792933,-107.86944470639432,29.43513344801015,-84.06058202878063,29.64368995840132
LOSO,absolute,20,N+H,10,0.9886888114062329,0.0030326405053093058,0.3838893995726174,0.05796984243149053,0.4811677061863657,0.08321567024726723,-46.570947606252,18.893520368594405,-33.1836660820871,20.15551477640609
LOSO,absolute,20,Persistence,10,0.9932007055404661,0.003156422440932813,0.2649150122905028,0.050984600246788164,0.3697694657435682,0.0995408820471827,0.0,0.0,0.0,0.0
LOSO,absolute,20,Spatial,10,0.9914757282237361,0.0024644525616169476,0.31009192506099964,0.051777316764969494,0.4181950495853163,0.07929390529874812,-18.33377263636843,17.106000514273305,-15.951626471015294,21.216359531446106
LOSO,absolute,50,N,10,0.9793395910004683,0.003334744852917564,0.5340503314845647,0.048412707188404305,0.6528719510467671,0.0761168368504066,-54.7764140431136,14.149328981080746,-36.5584057592394,13.651390256950021
LOSO,absolute,50,N+H,10,0.988804620247387,0.0030286250045352065,0.37960899437716766,0.05755067263439065,0.4783751223829594,0.08213372373998597,-9.430488103288948,12.436309615570364,0.6005954145376384,11.325322166088062
LOSO,absolute,50,Persistence,10,0.9885409502460043,0.0034620085032556376,0.34771537915492956,0.047041108127943855,0.48411069046006017,0.09147962602413726,0.0,0.0,0.0,0.0
LOSO,absolute,50,Spatial,10,0.9911890547016607,0.002381899698062218,0.3156137216247285,0.048605355349833554,0.4251793458727457,0.0754607895569436,9.07762936045243,9.940974894458844,11.54857763488987,11.55761400613157
LOSO,absolute,120,N,10,0.9803764855323983,0.0038211308103630573,0.5140704312126728,0.05399705518718975,0.6353149718865104,0.08219274736871694,13.752836206436976,6.8506617922246145,22.46309270863174,4.43463976724738
LOSO,absolute,120,N+H,10,0.9891911757409282,0.0030560541414351794,0.3674694120870516,0.0591333154956079,0.46951176093503627,0.08269225216220326,38.559351418560716,7.259872745937174,42.90444931697271,5.7582664821784455
LOSO,absolute,120,Persistence,10,0.9676551193625527,0.00395491815876558,0.5961441729885057,0.044731860089379814,0.8175014280414826,0.08005520174120995,0.0,0.0,0.0,0.0
LOSO,absolute,120,Spatial,10,0.9910281237817857,0.002324056543428335,0.3204208684356168,0.04634444917854074,0.4288698159620076,0.07105136051676297,46.4126021474564,4.992326210611708,47.730846969061474,5.135022961086193
LOSO,increment,20,N,10,0.04955429781009372,0.01877013014371309,0.2504254005722484,0.05313663328633986,0.34911819972760727,0.10175800889306866,5.7221604603893494,1.9834000608798914,5.981079032834676,2.0254200437042282
LOSO,increment,20,N+H,10,0.04985648180529424,0.018857700101752774,0.25033728966670465,0.053112663923132464,0.34905945841228225,0.1017317520798067,5.7550311448313956,1.962609334888119,5.996077679549123,2.026692434741527
LOSO,increment,20,Persistence,10,-0.07576746632688898,0.026263747332317542,0.2649150122905028,0.050984600246788164,0.3697694657435682,0.0995408820471827,0.0,0.0,0.0,0.0
