iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,16,1.52588e-05,0.000549316,0.000534058,3,0.046875,5.33854,0.570368
20,1,20,26,2.47955e-05,0.000732422,0.000707626,4,0.0625,4.53716,0.595968
30,2,6,39,3.71933e-05,0.00152588,0.00148869,3,0.046875,5.43197,0.694272
40,2,16,51,4.86374e-05,0.00128174,0.0012331,4,0.0625,4.60642,0.551936
50,3,2,50,4.76837e-05,0.00109863,0.00105095,4,0.0625,4.04435,0.543744
60,3,12,71,6.77109e-05,0.00128174,0.00121403,4,0.0625,3.98089,0.637952
70,3,22,62,5.91278e-05,0.00128174,0.00122261,4,0.0625,3.96853,0.551936
80,4,8,68,6.48499e-05,0.00158691,0.00152206,4,0.0625,4.2512,0.540672
90,4,18,111,0.000105858,0.00335693,0.00325108,4,0.0625,4.57103,0.644096
100,5,4,139,0.000132561,0.00427246,0.0041399,4,0.0625,4.64411,0.746496
110,5,14,145,0.000138283,0.00427246,0.00413418,4,0.0625,4.65953,0.728064
120,5,24,202,0.000192642,0.00604248,0.00584984,4,0.0625,4.66124,0.861184
130,6,10,214,0.000204086,0.00646973,0.00626564,4,0.0625,4.62622,0.888832
140,6,20,227,0.000216484,0.00634766,0.00613117,4,0.0625,4.34666,0.598016
150,7,6,182,0.000173569,0.00518799,0.00501442,4,0.0625,4.42112,1.18067
160,7,16,155,0.00014782,0.00427246,0.00412464,4,0.0625,4.48338,0.928768
170,8,2,220,0.000209808,0.00640869,0.00619888,4,0.0625,4.51638,1.08845
180,8,12,288,0.000274658,0.00805664,0.00778198,4,0.0625,4.44045,0.910336
190,8,22,300,0.000286102,0.00787354,0.00758743,4,0.0625,4.46472,0.919552
200,9,8,203,0.000193596,0.00415039,0.00395679,4,0.0625,4.21898,0.657408
210,9,18,277,0.000264168,0.00610352,0.00583935,4,0.0625,4.21167,0.820224
220,10,4,236,0.000225067,0.00524902,0.00502396,4,0.0625,4.1946,0.913408
230,10,14,326,0.000310898,0.00640869,0.00609779,4,0.0625,4.02135,0.838656
240,10,24,417,0.000397682,0.00836182,0.00796413,4,0.0625,4.01477,0.802816
250,11,10,402,0.000383377,0.00854492,0.00816154,4,0.0625,4.10958,0.77824
260,11,20,347,0.000330925,0.00842285,0.00809193,4,0.0625,4.15342,0.663552
270,12,6,325,0.000309944,0.00787354,0.00756359,4,0.0625,4.35105,0.758784
280,12,16,370,0.000352859,0.010376,0.0100231,4,0.0625,4.43148,0.887808
290,13,2,359,0.000342369,0.0102539,0.00991154,4,0.0625,4.49141,0.714752
300,13,12,419,0.00039959,0.0128174,0.0124178,4,0.0625,4.63258,0.98816
310,13,22,376,0.000358582,0.0119629,0.0116043,4,0.0625,4.68341,0.968704
320,14,8,437,0.000416756,0.0151367,0.01472,4,0.0625,4.88692,0.768
330,14,18,499,0.000475883,0.0182495,0.0177736,4,0.0625,5.05954,1.16941
340,15,4,565,0.000538826,0.019165,0.0186262,4,0.0625,4.79532,0.736256
350,15,14,610,0.000581741,0.0200806,0.0194988,4,0.0625,4.7654,1.07008
360,15,24,603,0.000575066,0.019165,0.01859,4,0.0625,4.76645,1.06803
370,16,10,611,0.000582695,0.0209961,0.0204134,4,0.0625,4.94118,1.03731
380,16,20,602,0.000574112,0.0201416,0.0195675,4,0.0625,4.82828,1.22061
390,17,6,641,0.000611305,0.0240479,0.0234365,4,0.0625,5.17832,0.743424
400,17,16,744,0.000709534,0.0283813,0.0276718,4,0.0625,5.23223,0.953344
410,18,2,786,0.000749588,0.0305786,0.029829,4,0.0625,5.30528,1.14483
420,18,12,775,0.000739098,0.0254517,0.0247126,4,0.0625,4.76136,0.673792
430,18,22,846,0.000806808,0.0265503,0.0257435,4,0.0625,4.6436,0.94208
440,19,8,890,0.00084877,0.0257568,0.0249081,4,0.0625,4.47089,1.00966
450,19,18,1011,0.000964165,0.0281982,0.0272341,4,0.0625,4.36545,0.71168
460,20,4,997,0.000950813,0.0286255,0.0276747,4,0.0625,4.46252,0.739328
470,20,14,1018,0.00097084,0.0261841,0.0252132,4,0.0625,4.26221,1.17658
480,20,24,1210,0.00115395,0.0349731,0.0338192,4,0.0625,4.41463,0.832512
490,21,10,1312,0.00125122,0.0407104,0.0394592,4,0.0625,4.57041,1.05984
500,21,20,1338,0.00127602,0.0428467,0.0415707,4,0.0625,4.6476,1.0793
510,22,6,1389,0.00132465,0.0439453,0.0426207,4,0.0625,4.61658,1.13664
520,22,16,1341,0.00127888,0.0476074,0.0463285,4,0.0625,4.94366,1.04141
530,23,2,1427,0.00136089,0.0476074,0.0462465,4,0.0625,4.7447,1.15507
540,23,12,1435,0.00136852,0.0493164,0.0479479,4,0.0625,4.84232,1.20426
550,23,22,1519,0.00144863,0.052124,0.0506754,4,0.0625,4.8324,1.12538
560,24,8,1463,0.00139523,0.0488892,0.0474939,4,0.0625,4.74918,0.94208
570,24,18,1411,0.00134563,0.0465698,0.0452242,4,0.0625,4.72215,0.91648
580,25,4,1495,0.00142574,0.0507812,0.0493555,4,0.0625,4.80884,0.917504
590,25,14,1556,0.00148392,0.0493774,0.0478935,4,0.0625,4.62214,1.08237
600,25,24,1679,0.00160122,0.0488281,0.0472269,4,0.0625,4.41366,0.913408
610,26,10,1854,0.00176811,0.0501709,0.0484028,4,0.0625,4.28074,0.989184
620,26,20,1980,0.00188828,0.0499268,0.0480385,4,0.0625,4.16677,1.02195
630,27,6,2074,0.00197792,0.053772,0.0517941,4,0.0625,4.22977,1.01376
640,27,16,2303,0.00219631,0.0601196,0.0579233,4,0.0625,4.24348,0.977888
650,28,2,2571,0.0024519,0.0678101,0.0653582,4,0.0625,4.24732,1.18989
660,28,12,2542,0.00242424,0.0622559,0.0598316,4,0.0625,4.1374,1.0496
670,28,22,2502,0.00238609,0.0585938,0.0562077,4,0.0625,4.10361,1.07213
680,29,8,2498,0.00238228,0.0609741,0.0585918,4,0.0625,4.16639,1.01171
690,29,18,2792,0.00266266,0.0717163,0.0690536,4,0.0625,4.21317,1.18067
700,30,4,2987,0.00284863,0.0704346,0.0675859,4,0.0625,4.10292,1.00966
710,30,14,3149,0.00300312,0.0754395,0.0724363,4,0.0625,4.12175,1.21754
720,30,24,3314,0.00316048,0.0834961,0.0803356,4,0.0625,4.18864,1.13254
730,31,10,3523,0.00335979,0.086853,0.0834932,4,0.0625,4.15778,1.1561
740,31,20,3582,0.00341606,0.0900879,0.0866718,4,0.0625,4.15661,1.11514
750,32,6,3992,0.00380707,0.0996704,0.0958633,4,0.0625,4.14647,1.2073
760,32,16,4006,0.00382042,0.104858,0.101038,4,0.0625,4.21177,1.31174
770,33,2,4206,0.00401115,0.109741,0.10573,4,0.0625,4.20984,1.33325
780,33,12,4070,0.00388145,0.104187,0.100306,4,0.0625,4.18162,1.28922
790,33,22,3865,0.00368595,0.101807,0.0981207,4,0.0625,4.22216,1.26362
800,34,8,3812,0.00363541,0.107605,0.10397,4,0.0625,4.353,1.12742
810,34,18,3999,0.00381374,0.110901,0.107087,4,0.0625,4.31243,1.31584
820,35,4,4287,0.0040884,0.123962,0.119874,4,0.0625,4.39505,1.13152
830,35,14,4557,0.00434589,0.127136,0.12279,5,0.078125,4.32129,1.22573
840,35,24,4967,0.0047369,0.140686,0.135949,6,0.09375,4.35143,1.17248
850,36,10,5025,0.00479221,0.13446,0.129668,5,0.078125,4.25484,1.35373
860,36,20,5365,0.00511646,0.148193,0.143077,5,0.078125,4.29852,1.34246
870,37,6,5630,0.00536919,0.155518,0.150148,6,0.09375,4.30777,1.36397
880,37,16,5746,0.00547981,0.152161,0.146681,6,0.09375,4.23597,1.41824
890,38,2,5856,0.00558472,0.160217,0.154633,6,0.09375,4.28732,1.2544
900,38,12,5947,0.0056715,0.15918,0.153508,6,0.09375,4.2297,1.37523
910,38,22,6311,0.00601864,0.156616,0.150598,6,0.09375,4.11941,1.34349
920,39,8,6355,0.0060606,0.167358,0.161298,6,0.09375,4.21914,1.3015
930,39,18,6697,0.00638676,0.175537,0.16915,6,0.09375,4.19943,1.32096
940,40,4,6894,0.00657463,0.195923,0.189348,6,0.09375,4.34804,1.45408
950,40,14,6776,0.0064621,0.189514,0.183052,6,0.09375,4.30771,1.408
960,40,24,7268,0.0069313,0.204773,0.197842,6,0.09375,4.322,1.30867
970,41,10,7424,0.00708008,0.207947,0.200867,6,0.09375,4.30129,1.42438
980,41,20,7484,0.0071373,0.210999,0.203861,6,0.09375,4.3016,1.2759
990,42,6,7795,0.00743389,0.208313,0.200879,6,0.09375,4.20702,1.43565
1000,42,16,7700,0.00734329,0.202393,0.195049,6,0.09375,4.17543,1.27693
1010,43,2,7801,0.00743961,0.196167,0.188727,6,0.09375,4.10255,1.31994
1020,43,12,7892,0.0075264,0.19458,0.187054,6,0.09375,4.10798,1.37011
1030,43,22,8318,0.00793266,0.207092,0.19916,6,0.09375,4.11843,1.57594
1040,44,8,8661,0.00825977,0.210327,0.202067,6,0.09375,4.05668,1.42541
1050,44,18,8789,0.00838184,0.220825,0.212443,6,0.09375,4.09261,1.52371
1060,45,4,8912,0.00849915,0.224731,0.216232,6,0.09375,4.08571,1.46739
1070,45,14,9103,0.0086813,0.215698,0.207017,6,0.09375,4.00007,1.57082
1080,45,24,9838,0.00938225,0.224792,0.21541,6,0.09375,3.93218,1.60973
1090,46,10,9867,0.0094099,0.223877,0.214467,6,0.09375,3.92244,1.58822
1100,46,20,10304,0.00982666,0.23645,0.226624,6,0.09375,3.93974,1.61382
1110,47,6,10081,0.00961399,0.232544,0.22293,6,0.09375,3.93611,1.65376
1120,47,16,10553,0.0100641,0.22821,0.218146,6,0.09375,3.84136,1.62611
1130,48,2,10419,0.00993633,0.22052,0.210584,6,0.09375,3.79582,1.53395
1140,48,12,10691,0.0101957,0.223633,0.213437,7,0.109375,3.79616,1.61178
1150,48,22,11112,0.0105972,0.239624,0.229027,7,0.109375,3.83166,1.67834
1160,49,8,10995,0.0104856,0.235535,0.225049,7,0.109375,3.79402,1.64454
1170,49,18,10820,0.0103188,0.228455,0.218136,7,0.109375,3.76255,1.64352
1180,50,4,11079,0.0105658,0.241333,0.230767,7,0.109375,3.79471,1.62918
1190,50,14,11131,0.0106153,0.246155,0.235539,6,0.09375,3.83538,1.72749
1200,50,24,11640,0.0111008,0.249451,0.23835,6,0.09375,3.77254,1.59027
1210,51,10,11819,0.0112715,0.246033,0.234761,6,0.09375,3.72189,1.71315
